step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
23,1.075,8.8388,1.5329,4.1397,-0.7203,0.0508,1.0173,0.304,9.872,10.629,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0219,-0.1592,1.152,1.5481,-0.774,0,0,0,0.463,0.136,0.864,0,0,5.0
24,1.12,8.8233,1.534,4.161,-0.7753,0.0562,1.0635,0.325,9.859,10.625,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0526,-0.1961,1.2,1.6082,-0.7382,0,0,0,0.48,0.145,0.855,0,0,3.0
25,1.162,8.8067,1.5351,4.1832,-0.8293,0.0576,1.1101,0.347,9.845,10.621,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0832,-0.2331,1.248,1.6689,-0.7586,0,0,0,0.486,0.145,0.855,0,0,1.0
26,1.205,8.7892,1.5363,4.2063,-0.8786,0.0576,1.1578,0.371,9.831,10.616,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1137,-0.2701,1.296,1.73,-0.7493,0,0,0,0.503,0.161,0.839,0,0,0.0
27,1.247,8.7706,1.5374,4.2304,-0.9275,0.0537,1.2061,0.395,9.816,10.611,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1442,-0.3072,1.344,1.7916,-0.7681,0,0,0,0.51,0.161,0.839,0,0,0.0
28,1.289,8.7512,1.5383,4.2555,-0.9722,0.046,1.2555,0.42,9.8,10.606,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1745,-0.3444,1.392,1.8536,-0.7388,0,0,0,0.525,0.163,0.837,0,0,0.0
29,1.331,8.7308,1.5389,4.2816,-1.0171,0.0323,1.3047,0.446,9.783,10.6,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2048,-0.3816,1.44,1.9159,-0.7565,0,0,0,0.533,0.165,0.835,0,0,0.0
30,1.374,8.7097,1.5392,4.3087,-1.0575,0.0147,1.3546,0.473,9.765,10.594,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.235,-0.419,1.488,1.9786,-0.7295,0,0,0,0.547,0.177,0.823,0,0,0.0
31,1.416,8.6877,1.539,4.3368,-1.0977,-0.0088,1.4041,0.501,9.746,10.588,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.265,-0.4564,1.536,2.0416,-0.7459,0,0,0,0.555,0.193,0.807,0,0,0.0
32,1.458,8.6651,1.5383,4.3659,-1.133,-0.0363,1.4539,0.53,9.726,10.581,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.295,-0.4939,1.584,2.1048,-0.7089,0,0,0,0.561,0.201,0.799,0,0,0.0
33,1.499,8.6417,1.5369,4.396,-1.1679,-0.0695,1.5027,0.56,9.706,10.574,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3248,-0.5315,1.632,2.1682,-0.7401,0,0,0,0.569,0.197,0.803,0,0,0.0
34,1.541,8.6177,1.5348,4.427,-1.2006,-0.1055,1.5519,0.591,9.684,10.567,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3545,-0.5692,1.68,2.2318,-0.6892,0,0,0,0.568,0.197,0.803,0,0,0.0
35,1.582,8.5931,1.5319,4.459,-1.2323,-0.1475,1.5996,0.623,9.662,10.559,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3841,-0.607,1.7,2.2747,-0.7177,0,0,0,0.576,0.211,0.789,0,0,0.0
36,1.623,8.5678,1.5281,4.4917,-1.2633,-0.1893,1.6375,0.656,9.638,10.551,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4135,-0.645,1.7,2.303,-0.6674,0,0,0,0.574,0.212,0.788,0,0,0.0
37,1.664,8.542,1.5234,4.525,-1.2908,-0.2331,1.6612,0.689,9.614,10.542,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4428,-0.683,1.7,2.332,-0.7119,0,0,0,0.583,0.222,0.778,0,0,0.0
38,1.705,8.5156,1.5179,4.5585,-1.3169,-0.2754,1.6768,0.723,9.589,10.533,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4719,-0.7211,1.7,2.3615,-0.6638,0,0,0,0.583,0.22,0.78,0,0,0.0
39,1.745,8.4888,1.5115,4.5922,-1.3407,-0.3209,1.6858,0.756,9.563,10.523,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5009,-0.7594,1.7,2.3915,-0.7065,0,0,0,0.59,0.233,0.767,0,0,0.0
40,1.786,8.4615,1.5042,4.626,-1.3637,-0.3663,1.692,0.79,9.536,10.513,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5297,-0.7978,1.7,2.4221,-0.6603,0,0,0,0.59,0.227,0.773,0,0,0.0
41,1.826,8.4338,1.4959,4.6599,-1.385,-0.4158,1.6948,0.824,9.508,10.502,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5583,-0.8364,1.7,2.4531,-0.6753,0,0,0,0.59,0.223,0.777,0,0,0.0
42,1.867,8.4057,1.4865,4.6939,-1.4055,-0.466,1.6964,0.859,9.479,10.49,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5867,-0.8751,1.7,2.4846,-0.6446,0,0,0,0.588,0.223,0.777,0,0,0.0
43,1.907,8.3772,1.4762,4.7278,-1.428,-0.5183,1.696,0.892,9.449,10.478,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6148,-0.9139,1.7,2.5165,-0.662,0,0,0,0.59,0.225,0.775,0,0,0.0
44,1.947,8.3482,1.4648,4.7617,-1.4509,-0.5709,1.6956,4.742,9.419,10.465,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6428,-0.953,1.7,2.5489,-0.6155,0,0,0,0.585,0.224,0.776,0,0,0.0
45,1.987,8.3187,1.4522,4.7956,-1.4734,-0.6253,1.694,4.776,9.387,10.452,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6704,-0.9922,1.7,2.5816,-0.6589,0,0,0,0.588,0.234,0.766,0,0,0.0
46,2.027,8.2888,1.4387,4.8294,-1.4962,-0.6781,1.6926,4.809,9.355,10.437,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6977,-1.0317,1.7,2.6147,-0.6126,0,0,0,0.583,0.228,0.772,0,0,0.0
47,2.064,8.2584,1.424,4.8632,-1.5186,-0.7331,1.6903,4.843,9.321,10.423,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7245,-1.0715,1.7,2.648,-0.6325,0,0,0,0.58,0.217,0.783,0,0,0.0
48,2.102,8.2276,1.4083,4.897,-1.5412,-0.787,1.6889,4.877,9.287,10.407,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7505,-1.1119,1.7,2.6815,-0.5984,0,0,0,0.573,0.205,0.795,0,0,0.0
49,2.14,8.1962,1.3915,4.9308,-1.566,-0.8415,1.6872,4.911,9.251,10.391,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7539,-1.1191,1.7,2.6867,-0.621,0,0,0,0.573,0.206,0.794,0,0,0.0
50,2.174,8.1644,1.3736,4.9644,-1.5916,-0.8936,1.6841,4.944,9.215,10.374,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7526,-1.1188,1.7,2.6858,-0.5742,0,0,0,0.566,0.202,0.798,0,0,0.0
51,2.209,8.1321,1.3547,4.998,-1.6162,-0.9454,1.6796,4.978,9.177,10.356,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7513,-1.1184,1.7,2.6848,-0.6043,0,0,0,0.565,0.201,0.799,0,0,0.0
52,2.244,8.0993,1.3348,5.0315,-1.6403,-0.9936,1.6755,5.012,9.139,10.338,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7501,-1.1178,1.7,2.6837,-0.5576,0,0,0,0.556,0.198,0.802,0,0,0.0
53,2.279,8.066,1.314,5.065,-1.6637,-1.041,1.6713,5.045,9.1,10.319,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7489,-1.1172,1.7,2.6827,-0.553,0,0,0,0.552,0.198,0.802,0,0,0.0
54,2.314,8.0323,1.2923,5.0983,-1.6868,-1.0842,1.6683,5.078,9.06,10.299,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7478,-1.1164,1.7,2.6816,-0.5528,0,0,0,0.543,0.194,0.806,0,0,0.0
