step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
23,2.011,20.8647,7.7426,25.8821,-0.7147,0.055,1.0173,0.304,31.089,40.325,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9989,-0.178,1.152,1.5351,-0.7373,0,0,0,0.051,0.036,0.964,0,0,6.0
24,2.09,20.8493,7.7437,25.9033,-0.77,0.0585,1.063,0.325,31.077,40.329,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0264,-0.2174,1.2,1.594,-0.7317,0,0,0,0.059,0.041,0.959,0,0,4.0
25,2.169,20.8329,7.7449,25.9255,-0.8223,0.0586,1.1098,0.347,31.065,40.334,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0539,-0.2567,1.248,1.6535,-0.7203,0,0,0,0.091,0.041,0.959,0,0,2.0
26,2.251,20.8154,7.746,25.9487,-0.8756,0.0549,1.1565,0.37,31.051,40.338,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0813,-0.2961,1.296,1.7136,-0.745,0,0,0,0.109,0.046,0.954,0,0,0.0
27,2.333,20.7968,7.747,25.9727,-0.9264,0.0484,1.2048,0.395,31.037,40.343,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1087,-0.3355,1.344,1.7743,-0.7005,0,0,0,0.128,0.049,0.951,0,0,0.0
28,2.414,20.7774,7.7477,25.9978,-0.9739,0.0354,1.2532,0.42,31.022,40.347,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1361,-0.3749,1.392,1.8355,-0.7316,0,0,0,0.14,0.055,0.945,0,0,0.0
29,2.496,20.7569,7.7481,26.0239,-1.0208,0.0207,1.302,0.446,31.006,40.351,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1635,-0.4144,1.44,1.8971,-0.7038,0,0,0,0.223,0.076,0.924,0,0,0.0
30,2.58,20.7356,7.7481,26.0509,-1.0651,-0.0003,1.3513,0.473,30.989,40.355,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1908,-0.4538,1.488,1.9591,-0.7125,0,0,0,0.252,0.076,0.924,0,0,0.0
31,2.665,20.7135,7.7476,26.0789,-1.1052,-0.0245,1.401,0.501,30.971,40.36,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2181,-0.4933,1.536,2.0215,-0.6953,0,0,0,0.419,0.101,0.899,0,0,0.0
32,2.749,20.6906,7.7465,26.1079,-1.1458,-0.0539,1.4499,0.53,30.952,40.364,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2454,-0.5328,1.584,2.0842,-0.7052,0,0,0,0.533,0.108,0.892,0,0,0.0
33,2.827,20.667,7.7448,26.1379,-1.1829,-0.0868,1.4991,0.56,30.932,40.367,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2726,-0.5724,1.632,2.1472,-0.6892,0,0,0,0.663,0.108,0.892,0,0,0.0
34,2.906,20.6426,7.7423,26.1688,-1.2205,-0.1251,1.5474,0.591,30.91,40.371,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2998,-0.6119,1.68,2.2105,-0.6615,0,0,0,0.675,0.116,0.884,0,0,0.0
35,2.984,20.6175,7.7389,26.2007,-1.2542,-0.1673,1.5954,0.623,30.888,40.375,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3269,-0.6515,1.7,2.2528,-0.6929,0,0,0,0.721,0.13,0.87,0,0,0.0
36,3.062,20.5918,7.7347,26.2334,-1.2857,-0.2095,1.634,0.655,30.865,40.378,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.354,-0.6911,1.7,2.2806,-0.6426,0,0,0,0.732,0.137,0.863,0,0,0.0
37,3.14,20.5655,7.7297,26.2666,-1.3124,-0.254,1.6582,0.688,30.841,40.381,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3811,-0.7307,1.7,2.309,-0.6875,0,0,0,0.763,0.161,0.839,0,0,0.0
38,3.219,20.5388,7.7237,26.3001,-1.3364,-0.2975,1.6746,0.722,30.816,40.384,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4081,-0.7704,1.7,2.338,-0.6402,0,0,0,0.771,0.16,0.84,0,0,0.0
39,3.297,20.5116,7.7168,26.3338,-1.3571,-0.3445,1.6843,0.756,30.79,40.386,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4351,-0.8101,1.7,2.3677,-0.6829,0,0,0,0.795,0.173,0.827,0,0,0.0
40,3.376,20.4841,7.709,26.3676,-1.3758,-0.392,1.6911,0.789,30.764,40.387,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4621,-0.8498,1.7,2.3979,-0.638,0,0,0,0.802,0.185,0.815,0,0,0.0
41,3.451,20.4563,7.7001,26.4015,-1.3919,-0.4438,1.6945,0.823,30.736,40.388,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.489,-0.8896,1.7,2.4287,-0.6456,0,0,0,0.797,0.182,0.818,0,0,0.0
42,3.526,20.4282,7.6902,26.4354,-1.4062,-0.4965,1.6962,0.858,30.708,40.389,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5158,-0.9294,1.7,2.46,-0.6314,0,0,0,0.802,0.185,0.815,0,0,0.0
43,3.602,20.3997,7.6791,26.4693,-1.4223,-0.5513,1.6962,0.892,30.678,40.388,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5426,-0.9692,1.7,2.4918,-0.629,0,0,0,0.791,0.189,0.811,0,0,0.0
44,3.678,20.371,7.667,26.5032,-1.4365,-0.6073,1.6955,1.193,30.648,40.388,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5694,-1.009,1.7,2.5241,-0.5847,0,0,0,0.754,0.17,0.83,0,0,0.0
45,3.75,20.342,7.6537,26.5371,-1.4517,-0.6644,1.6933,1.22,30.617,40.386,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5961,-1.0489,1.7,2.5569,-0.6259,0,0,0,0.747,0.169,0.831,0,0,0.0
46,3.822,20.3126,7.6393,26.5709,-1.4685,-0.7197,1.692,1.246,30.585,40.384,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.6228,-1.0888,1.7,2.5902,-0.5782,0,0,0,0.736,0.153,0.847,0,0,0.0
47,3.893,20.2829,7.6238,26.6047,-1.4863,-0.7768,1.6904,1.273,30.552,40.381,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.6494,-1.1287,1.7,2.6239,-0.6135,0,0,0,0.728,0.153,0.847,0,0,0.0
48,3.965,20.2527,7.6071,26.6385,-1.5057,-0.8318,1.689,1.3,30.517,40.377,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.676,-1.1687,1.7,2.658,-0.571,0,0,0,0.7,0.148,0.852,0,0,0.0
