step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,20.9748,7.7392,25.6487,0.0,0.0,0.0,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.048,-0.0012,0.048,0.0679,-0.7981,0,0,1,0.979,0.68,0.32,0,0,0.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,0.0,0.0,25.1114,18.4753
1,0.138,20.9748,7.7392,25.6465,0.0,0.0,-0.1126,0.068,31.176,40.242,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.096,-0.0024,0.096,0.1358,-0.7981,0,0,1,0.979,0.68,0.32,0,0,0.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,0.0,0.0,25.1114,18.4753
2,0.277,20.9748,7.7392,25.642,0.0,0.0,-0.225,0.064,31.176,40.239,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.144,-0.0035,0.144,0.2036,-0.7981,0,0,1,0.979,0.68,0.32,0,0,0.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,0.0,0.0,25.1114,18.4753
3,0.417,20.9748,7.7392,25.6353,0.0,0.0,-0.3337,0.057,31.176,40.235,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.1919,-0.0044,0.192,0.2715,-0.7974,0,0,1,0.979,0.68,0.32,0,0,1.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,0.0,0.0,25.1114,18.4753
4,0.556,20.9748,7.7392,25.627,0.0,0.0,-0.4123,0.049,31.176,40.23,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2399,-0.0045,0.24,0.3394,-0.814,0,0,1,0.979,0.68,0.32,0,0,2.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,0.0,0.0,25.1114,18.4753
5,0.639,20.9748,7.7392,25.6179,-0.0,0.0,-0.4581,0.04,31.176,40.224,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2879,-0.0024,0.288,0.4072,-0.8294,0,0,1,0.979,0.68,0.32,0,0,3.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0,0.0,25.1114,18.4753
6,0.729,20.9748,7.7392,25.6083,-0.0015,-0.0015,-0.4789,0.03,31.176,40.218,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3357,0.0017,0.336,0.475,-0.8411,0,0,1,0.979,0.68,0.32,0,0,4.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0015,-0.0015,25.1114,18.4752
7,0.83,20.9746,7.739,25.5987,-0.0071,-0.0067,-0.4797,0.499,31.175,40.212,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3832,0.0089,0.384,0.5426,-0.8472,0,0,1,0.978,0.68,0.32,0,0,5.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0071,-0.0067,25.1113,18.4751
8,0.917,20.9746,7.7389,25.594,-0.0038,-0.0061,-0.2341,0.494,31.175,40.209,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4307,0.0157,0.432,0.6102,-0.7577,0,0,1,0.978,0.68,0.32,0,0,6.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0038,-0.0061,25.1112,18.475
9,1.006,20.9745,7.7388,25.591,-0.0031,-0.0056,-0.1539,0.491,31.175,40.207,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4782,0.0226,0.48,0.6779,-0.7572,0,0,1,0.979,0.68,0.32,0,0,7.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0031,-0.0056,25.1111,18.4749
10,1.124,20.9745,7.7387,25.5886,-0.0024,-0.0047,-0.1196,0.489,31.175,40.205,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.5257,0.0295,0.528,0.7457,-0.7565,0,0,1,0.979,0.68,0.32,0,0,8.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0024,-0.0047,25.1111,18.4748
11,1.21,20.9744,7.7386,25.5865,-0.002,-0.0041,-0.102,0.487,31.175,40.204,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.5732,0.0364,0.576,0.8134,-0.756,0,0,1,0.979,0.68,0.32,0,0,9.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.002,-0.0041,25.111,18.4747
12,1.293,20.9744,7.7385,25.5847,-0.0019,-0.0038,-0.0904,0.485,31.175,40.203,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.6207,0.0433,0.624,0.8812,-0.7557,0,0,1,0.979,0.68,0.32,0,0,10.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0019,-0.0038,25.111,18.4746
13,1.39,20.9743,7.7385,25.5831,-0.0019,-0.0037,-0.0816,0.483,31.175,40.202,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.6682,0.0501,0.672,0.949,-0.7554,0,0,1,0.979,0.68,0.32,0,0,11.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0019,-0.0037,25.111,18.4745
14,1.483,20.9743,7.7384,25.5816,-0.0018,-0.0037,-0.0742,0.482,31.175,40.201,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.7157,0.057,0.72,1.0168,-0.7552,0,0,1,0.979,0.68,0.32,0,0,12.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0018,-0.0037,25.1109,18.4745
15,1.568,20.9743,7.7383,25.5803,-0.0019,-0.0037,-0.0672,0.48,31.175,40.2,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.7632,0.0638,0.768,1.0846,-0.7551,0,0,1,0.979,0.68,0.32,0,0,13.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0019,-0.0037,25.1109,18.4744
16,1.652,20.9742,7.7382,25.579,-0.0019,-0.0037,-0.0606,0.479,31.175,40.199,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8107,0.0707,0.816,1.1525,-0.7549,0,0,1,0.979,0.68,0.32,0,0,14.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0019,-0.0037,25.1108,18.4743
17,1.736,20.9742,7.7382,25.578,-0.0019,-0.0038,-0.0545,0.478,31.175,40.198,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8583,0.0775,0.864,1.2203,-0.7548,0,0,1,0.979,0.68,0.32,0,0,15.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0019,-0.0038,25.1108,18.4742
18,1.82,20.9741,7.7381,25.577,-0.002,-0.0038,-0.0488,0.477,31.174,40.197,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9058,0.0843,0.912,1.2881,-0.7547,0,0,1,0.979,0.68,0.32,0,0,16.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.002,-0.0038,25.1108,18.4742
19,1.901,20.9741,7.738,25.5761,-0.002,-0.0039,-0.0436,0.476,31.174,40.197,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9533,0.0911,0.96,1.356,-0.7545,0,0,1,0.979,0.68,0.32,0,0,17.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.002,-0.0039,25.1107,18.4741
20,1.985,20.9741,7.7379,25.5753,-0.002,-0.004,-0.0389,0.476,31.174,40.196,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0008,0.0979,1.008,1.4238,-0.7544,0,0,1,0.979,0.68,0.32,0,0,18.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.002,-0.004,25.1107,18.474
21,2.068,20.974,7.7379,25.5746,-0.0021,-0.004,-0.0346,0.475,31.174,40.196,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0483,0.1047,1.056,1.4917,-0.7542,0,0,1,0.979,0.68,0.32,0,0,19.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0021,-0.004,25.1106,18.4739
22,2.152,20.974,7.7378,25.574,-0.0021,-0.0041,-0.0306,0.474,31.174,40.195,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0958,0.1115,1.104,1.5595,-0.7541,0,0,1,0.979,0.68,0.32,0,0,20.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0021,-0.0041,25.1106,18.4739
23,2.234,20.9739,7.7377,25.5735,-0.0021,-0.0042,-0.027,0.474,31.174,40.195,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1434,0.1183,1.152,1.6274,-0.7539,0,0,1,0.979,0.68,0.32,0,0,21.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0021,-0.0042,25.1106,18.4738
24,2.316,20.9739,7.7376,25.573,-0.0022,-0.0042,-0.0236,0.473,31.174,40.195,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1909,0.125,1.2,1.6952,-0.7538,0,0,1,0.979,0.68,0.32,0,0,22.0,3,MOUNTAIN_LONG_RANGE_ACQUISITION,-0.0022,-0.0042,25.1105,18.4737
