step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,9.8912,2.7943,3.9063,0.0,0.0,0.0,0.071,15.792,16.221,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.048,-0.0011,0.048,0.0679,-0.8284,0,0,0,0.979,0.461,0.539,0,0,0.0,6,SEARCH_PHASE,0.0,0.0,13.5526,8.1057
1,0.067,9.8912,2.7943,3.9067,0.0,0.0,0.0186,0.071,15.792,16.221,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.096,-0.0016,0.096,0.1358,-0.8243,0,0,0,0.978,0.469,0.531,0,0,0.0,6,SEARCH_PHASE,0.0,0.0,13.5526,8.1057
2,0.127,9.8912,2.7943,3.9076,0.0,-0.0,0.0478,0.072,15.792,16.221,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.144,-0.0017,0.144,0.2036,-0.8218,0,0,0,0.978,0.462,0.538,0,0,0.0,6,SEARCH_PHASE,0.0,-0.0,13.5526,8.1057
3,0.187,9.8912,2.7943,3.9093,-0.003,-0.0,0.0844,0.074,15.792,16.221,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.192,-0.0005,0.192,0.2715,-0.8173,0,0,0,0.978,0.454,0.546,0,0,0.0,6,SEARCH_PHASE,-0.003,-0.0,13.5525,8.1057
4,0.252,9.8911,2.7943,3.9118,-0.006,-0.0001,0.1255,0.076,15.791,16.222,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.2399,0.0012,0.24,0.3394,-0.8046,0,0,0,0.978,0.454,0.546,0,0,0.0,6,SEARCH_PHASE,-0.006,-0.0001,13.5524,8.1057
5,0.313,9.8908,2.7943,3.9152,-0.0123,-0.0005,0.1699,0.079,15.791,16.222,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.2878,0.0047,0.288,0.4072,-0.8278,0,0,0,0.978,0.461,0.539,0,0,1.0,6,SEARCH_PHASE,-0.0123,-0.0005,13.5521,8.1057
6,0.374,9.8904,2.7943,3.9196,-0.0213,0.0,0.2164,0.084,15.791,16.223,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.3357,0.0072,0.336,0.4751,-0.7918,0,0,0,0.976,0.432,0.568,0,0,2.0,6,SEARCH_PHASE,-0.0213,0.0,13.5517,8.1057
7,0.435,9.8897,2.7943,3.9248,-0.0366,-0.0016,0.2638,0.089,15.79,16.224,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.3835,0.0116,0.384,0.5429,-0.8158,0,0,0,0.976,0.426,0.574,0,0,3.0,6,SEARCH_PHASE,-0.0366,-0.0016,13.551,8.1057
8,0.496,9.8886,2.7942,3.9311,-0.0541,-0.0019,0.3122,0.095,15.789,16.224,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.4312,0.0172,0.432,0.6106,-0.7796,0,0,0,0.976,0.424,0.576,0,0,4.0,6,SEARCH_PHASE,-0.0541,-0.0019,13.5499,8.1056
9,0.557,9.887,2.7941,3.9383,-0.0774,-0.0039,0.3606,0.102,15.788,16.224,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.4788,0.0239,0.48,0.6784,-0.8041,0,0,0,0.976,0.412,0.588,0,0,5.0,6,SEARCH_PHASE,-0.0774,-0.0039,13.5483,8.1056
10,0.623,9.885,2.7941,3.9465,-0.1025,-0.0043,0.4097,0.111,15.786,16.225,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.5263,0.0304,0.528,0.7461,-0.7679,0,0,0,0.974,0.382,0.618,0,0,6.0,6,SEARCH_PHASE,-0.1025,-0.0043,13.5463,8.1055
11,0.684,9.8823,2.7939,3.9557,-0.1329,-0.0058,0.4582,0.12,15.784,16.224,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.5736,0.0388,0.576,0.8138,-0.7927,0,0,0,0.974,0.369,0.631,0,0,7.0,6,SEARCH_PHASE,-0.1329,-0.0058,13.5436,8.1054
12,0.747,9.879,2.7938,3.9658,-0.1646,-0.0054,0.5072,0.13,15.781,16.224,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.6208,0.0474,0.624,0.8815,-0.7553,0,0,0,0.974,0.353,0.647,0,0,8.0,6,SEARCH_PHASE,-0.1646,-0.0054,13.5403,8.1053
13,0.809,9.875,2.7937,3.9769,-0.2011,-0.0057,0.5558,0.141,15.777,16.223,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.6675,0.0583,0.672,0.949,-0.78,0,0,0,0.972,0.312,0.688,0,0,9.0,6,SEARCH_PHASE,-0.2011,-0.0057,13.5363,8.1051
14,0.87,9.8702,2.7936,3.989,-0.2398,-0.0036,0.6047,0.153,15.773,16.222,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.7142,0.0696,0.72,1.0165,-0.7442,0,0,0,0.972,0.287,0.713,0,0,10.0,6,SEARCH_PHASE,-0.2398,-0.0036,13.5315,8.1051
15,0.933,9.8645,2.7936,4.0021,-0.2843,-0.0017,0.6527,0.166,15.768,16.22,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.7603,0.0828,0.768,1.0839,-0.7693,0,0,0,0.969,0.244,0.756,0,0,9.5,6,SEARCH_PHASE,-0.2843,-0.0017,13.5258,8.105
16,0.999,9.8579,2.7937,4.0161,-0.3305,0.003,0.7007,0.18,15.763,16.218,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.8061,0.0974,0.816,1.1511,-0.7336,0,0,0,0.969,0.234,0.766,0,0,9.0,6,SEARCH_PHASE,-0.3305,0.003,13.5192,8.1051
17,1.071,9.8503,2.7938,4.031,-0.3819,0.0079,0.7478,0.195,15.756,16.215,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.8384,0.062,0.864,1.2055,-0.759,0,0,0,0.451,0.194,0.806,0,0,8.5,6,SEARCH_PHASE,-0.3819,0.0079,13.5116,8.1052
18,1.139,9.8416,2.7942,4.0469,-0.4341,0.0159,0.7943,0.211,15.749,16.212,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.8707,0.0265,0.912,1.2612,-0.7237,0,0,0,0.451,0.188,0.812,0,0,8.0,6,SEARCH_PHASE,-0.4341,0.0159,13.5029,8.1056
19,1.202,9.8318,2.7946,4.0637,-0.491,0.0244,0.839,0.228,15.741,16.208,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.903,-0.009,0.96,1.318,-0.7654,0,0,0,0.453,0.188,0.812,0,0,7.5,6,SEARCH_PHASE,-0.491,0.0244,13.4931,8.1061
20,1.266,9.8208,2.7954,4.0814,-0.5479,0.0362,0.883,0.246,15.732,16.203,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.9353,-0.0445,1.008,1.3758,-0.7763,0,0,0,0.453,0.183,0.817,0,0,7.0,6,SEARCH_PHASE,-0.5479,0.0362,13.4821,8.1068
21,1.328,9.8087,2.7963,4.0999,-0.6037,0.0472,0.9283,0.264,15.722,16.198,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.9676,-0.0801,1.056,1.4345,-0.7543,0,0,0,0.451,0.189,0.811,0,0,6.5,6,SEARCH_PHASE,-0.6037,0.0472,13.4701,8.1077
22,1.392,9.7955,2.7974,4.1194,-0.662,0.0551,0.9728,0.284,15.711,16.193,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.9998,-0.1156,1.104,1.4939,-0.7761,0,0,0,0.452,0.19,0.81,0,0,6.0,6,SEARCH_PHASE,-0.662,0.0551,13.4568,8.1088
23,1.454,9.7811,2.7987,4.1397,-0.7193,0.0625,1.0182,0.304,15.699,16.186,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.032,-0.1512,1.152,1.554,-0.7421,0,0,0,0.454,0.192,0.808,0,0,4.0,6,SEARCH_PHASE,-0.7193,0.0625,13.4424,8.1101
24,1.516,9.7656,2.8,4.161,-0.7752,0.0657,1.064,0.325,15.687,16.179,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.0642,-0.1869,1.2,1.6148,-0.7698,0,0,0,0.469,0.188,0.812,0,0,2.0,6,SEARCH_PHASE,-0.7752,0.0657,13.4269,8.1114
25,1.58,9.749,2.8013,4.1832,-0.8305,0.0684,1.1105,0.347,15.673,16.172,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.0963,-0.2225,1.248,1.676,-0.7525,0,0,0,0.472,0.181,0.819,0,0,0.0,6,SEARCH_PHASE,-0.8305,0.0684,13.4103,8.1128
