step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
19,0.95,8.8846,1.535,4.0633,-0.5239,0.0493,0.8367,0.228,9.912,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9067,0.0526,0.96,1.3216,-0.7269,0,0,0,0.45,0.127,0.873,0,0,0.0,5,SEARCH_PHASE,-0.5239,0.0493
20,0.999,8.873,1.5362,4.081,-0.581,0.0592,0.8813,0.245,9.903,10.636,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9363,0.0148,1.008,1.3759,-0.7406,0,0,0,0.439,0.124,0.876,0,0,0.0,5,SEARCH_PHASE,-0.581,0.0592
21,1.05,8.8603,1.5376,4.0995,-0.6364,0.0714,0.926,0.264,9.892,10.633,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9659,-0.023,1.056,1.4313,-0.7806,0,0,0,0.447,0.128,0.872,0,0,0.0,5,SEARCH_PHASE,-0.6364,0.0714
22,1.1,8.8464,1.5393,4.1189,-0.6939,0.083,0.9703,0.283,9.881,10.63,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9954,-0.0608,1.104,1.4877,-0.7433,0,0,0,0.46,0.13,0.87,0,0,0.0,5,SEARCH_PHASE,-0.6939,0.083
23,1.146,8.8314,1.5411,4.1392,-0.7511,0.09,1.0154,0.303,9.87,10.627,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0248,-0.0987,1.152,1.545,-0.7648,0,0,0,0.462,0.138,0.862,0,0,0.0,5,SEARCH_PHASE,-0.7511,0.09
24,1.189,8.8153,1.543,4.1604,-0.8049,0.0953,1.0614,0.325,9.857,10.623,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0542,-0.1367,1.2,1.6031,-0.7336,0,0,0,0.476,0.141,0.859,0,0,0.0,5,SEARCH_PHASE,-0.8049,0.0953
25,1.232,8.7981,1.5449,4.1826,-0.8596,0.0965,1.1076,0.347,9.843,10.618,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0835,-0.1747,1.248,1.6619,-0.7594,0,0,0,0.485,0.147,0.853,0,0,0.0,5,SEARCH_PHASE,-0.8596,0.0965
26,1.276,8.7799,1.5469,4.2057,-0.9107,0.096,1.1551,0.37,9.829,10.613,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1128,-0.2128,1.296,1.7214,-0.7288,0,0,0,0.504,0.154,0.846,0,0,0.0,5,SEARCH_PHASE,-0.9107,0.096
27,1.324,8.7607,1.5487,4.2297,-0.9609,0.091,1.2031,0.394,9.813,10.608,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1419,-0.2509,1.344,1.7814,-0.7474,0,0,0,0.514,0.165,0.835,0,0,0.0,5,SEARCH_PHASE,-0.9609,0.091
28,1.371,8.7406,1.5503,4.2548,-1.0054,0.0835,1.2523,0.419,9.797,10.603,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.171,-0.2891,1.392,1.8419,-0.7193,0,0,0,0.531,0.172,0.828,0,0,0.0,5,SEARCH_PHASE,-1.0054,0.0835
29,1.416,8.7196,1.5518,4.2808,-1.0487,0.0715,1.3016,0.445,9.78,10.597,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1999,-0.3274,1.44,1.9028,-0.7363,0,0,0,0.539,0.178,0.822,0,0,0.0,5,SEARCH_PHASE,-1.0487,0.0715
30,1.46,8.6979,1.5529,4.3079,-1.0858,0.057,1.3516,0.472,9.762,10.591,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2288,-0.3658,1.488,1.9641,-0.7305,0,0,0,0.551,0.195,0.805,0,0,0.0,5,SEARCH_PHASE,-1.0858,0.057
31,1.503,8.6754,1.5537,4.3359,-1.1213,0.0379,1.402,0.5,9.743,10.585,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2575,-0.4042,1.536,2.0258,-0.7451,0,0,0,0.558,0.199,0.801,0,0,0.0,5,SEARCH_PHASE,-1.1213,0.0379
32,1.545,8.6524,1.554,4.3649,-1.153,0.0141,1.4526,0.529,9.724,10.578,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2925,-0.3714,1.584,2.0779,-0.7217,0,0,0,0.951,0.215,0.785,0,0,0.0,5,SEARCH_PHASE,-1.153,0.0141
33,1.59,8.6287,1.5536,4.395,-1.1852,-0.016,1.5008,0.559,9.704,10.571,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3189,-0.4115,1.632,2.1383,-0.689,0,0,0,0.573,0.211,0.789,0,0,0.0,5,SEARCH_PHASE,-1.1852,-0.016
34,1.651,8.6044,1.5526,4.4259,-1.2132,-0.0509,1.549,0.59,9.682,10.564,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3451,-0.4517,1.68,2.199,-0.7037,0,0,0,0.572,0.202,0.798,0,0,0.0,5,SEARCH_PHASE,-1.2132,-0.0509
35,1.693,8.5796,1.5509,4.4579,-1.2396,-0.0873,1.5974,0.622,9.66,10.557,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3712,-0.492,1.7,2.2388,-0.6875,0,0,0,0.578,0.212,0.788,0,0,0.0,5,SEARCH_PHASE,-1.2396,-0.0873
36,1.735,8.5543,1.5484,4.4906,-1.2667,-0.1258,1.635,0.655,9.638,10.55,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3972,-0.5323,1.7,2.264,-0.6906,0,0,0,0.576,0.215,0.785,0,0,0.0,5,SEARCH_PHASE,-1.2667,-0.1258
37,1.777,8.5285,1.5451,4.5238,-1.2897,-0.1642,1.6592,0.688,9.614,10.542,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.423,-0.5728,1.7,2.2898,-0.6763,0,0,0,0.581,0.222,0.778,0,0,0.0,5,SEARCH_PHASE,-1.2897,-0.1642
38,1.818,8.5022,1.541,4.5573,-1.3138,-0.2042,1.6743,0.721,9.59,10.533,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4487,-0.6134,1.7,2.3162,-0.6811,0,0,0,0.579,0.218,0.782,0,0,0.0,5,SEARCH_PHASE,-1.3138,-0.2042
39,1.859,8.4755,1.5361,4.5909,-1.3355,-0.2449,1.684,0.755,9.565,10.524,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4742,-0.654,1.7,2.3433,-0.6682,0,0,0,0.582,0.216,0.784,0,0,0.0,5,SEARCH_PHASE,-1.3355,-0.2449
40,1.9,8.4483,1.5303,4.6247,-1.3593,-0.2876,1.6895,0.789,9.538,10.515,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4995,-0.6948,1.7,2.3709,-0.6594,0,0,0,0.579,0.218,0.782,0,0,0.0,5,SEARCH_PHASE,-1.3593,-0.2876
41,1.94,8.4207,1.5237,4.6586,-1.3817,-0.3318,1.693,0.823,9.512,10.505,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5247,-0.7357,1.7,2.3992,-0.6483,0,0,0,0.581,0.221,0.779,0,0,0.0,5,SEARCH_PHASE,-1.3817,-0.3318
42,1.98,8.3926,1.5162,4.6925,-1.406,-0.3771,1.6946,0.857,9.484,10.494,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5497,-0.7767,1.7,2.4279,-0.6508,0,0,0,0.578,0.215,0.785,0,0,0.0,5,SEARCH_PHASE,-1.406,-0.3771
43,2.02,8.364,1.5077,4.7264,-1.4289,-0.423,1.6954,0.891,9.455,10.483,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5744,-0.8178,1.7,2.4572,-0.6408,0,0,0,0.579,0.219,0.781,0,0,0.0,5,SEARCH_PHASE,-1.4289,-0.423
44,2.061,8.3349,1.4983,4.7603,-1.4542,-0.4703,1.695,4.74,9.426,10.471,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5989,-0.8591,1.7,2.4869,-0.6323,0,0,0,0.575,0.21,0.79,0,0,0.0,5,SEARCH_PHASE,-1.4542,-0.4703
45,2.099,8.3053,1.4879,4.7942,-1.4787,-0.5182,1.6945,4.774,9.395,10.458,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6232,-0.9005,1.7,2.5171,-0.624,0,0,0,0.575,0.212,0.788,0,0,0.0,5,SEARCH_PHASE,-1.4787,-0.5182
46,2.136,8.2752,1.4766,4.8281,-1.5052,-0.5666,1.6935,4.808,9.364,10.445,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6472,-0.9421,1.7,2.5477,-0.6246,0,0,0,0.57,0.205,0.795,0,0,0.0,5,SEARCH_PHASE,-1.5052,-0.5666
47,2.172,8.2446,1.4643,4.8619,-1.5303,-0.615,1.6927,4.842,9.331,10.431,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6708,-0.9838,1.7,2.5787,-0.6173,0,0,0,0.571,0.203,0.797,0,0,0.0,5,SEARCH_PHASE,-1.5303,-0.615
48,2.206,8.2135,1.451,4.8957,-1.5578,-0.6637,1.691,4.876,9.298,10.416,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.694,-1.0258,1.7,2.61,-0.6101,0,0,0,0.567,0.204,0.796,0,0,0.0,5,SEARCH_PHASE,-1.5578,-0.6637
49,2.242,8.1818,1.4368,4.9295,-1.5844,-0.7124,1.6899,4.91,9.264,10.401,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7167,-1.0682,1.7,2.6416,-0.6046,0,0,0,0.569,0.205,0.795,0,0,0.0,5,SEARCH_PHASE,-1.5844,-0.7124
50,2.277,8.1496,1.4216,4.9633,-1.6115,-0.7609,1.6887,4.943,9.228,10.385,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7384,-1.111,1.7,2.6732,-0.604,0,0,0,0.566,0.202,0.798,0,0,0.0,5,SEARCH_PHASE,-1.6115,-0.7609
51,2.312,8.1168,1.4054,4.9971,-1.6356,-0.8089,1.6879,4.977,9.192,10.368,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7455,-1.1283,1.7,2.6852,-0.5978,0,0,0,0.567,0.221,0.779,0,0,0.0,5,SEARCH_PHASE,-1.6356,-0.8089
52,2.347,8.0836,1.3882,5.0308,-1.6604,-0.8563,1.6858,5.011,9.155,10.351,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.744,-1.1283,1.7,2.6842,-0.597,0,0,0,0.563,0.208,0.792,0,0,0.0,5,SEARCH_PHASE,-1.6604,-0.8563
53,2.382,8.05,1.3702,5.0644,-1.6824,-0.9029,1.6826,5.044,9.117,10.333,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7425,-1.1282,1.7,2.6832,-0.5909,0,0,0,0.564,0.22,0.78,0,0,0.0,5,SEARCH_PHASE,-1.6824,-0.9029
54,2.416,8.0159,1.3512,5.098,-1.7053,-0.949,1.6785,5.078,9.078,10.315,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7411,-1.128,1.7,2.6821,-0.5437,0,0,0,0.558,0.217,0.783,0,0,0.0,5,SEARCH_PHASE,-1.7053,-0.949
