step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
18,0.475,-26.5349,21.6348,0.5916,-0.4302,0.0357,0.795,0.261,73.886,73.887,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.9043,0.0941,0.912,1.2878,-0.0847,0,0,0,0.93,0.578,0.422,0,0,10.0,4,SEARCH_PHASE,-0.4302,0.0357,-62.6593,39.1533
19,0.503,-26.5447,21.6357,0.6085,-0.4868,0.0474,0.8409,0.278,73.895,73.896,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.9504,0.1076,0.96,1.3551,-0.1164,0,0,0,0.926,0.582,0.418,0,0,9.5,4,SEARCH_PHASE,-0.4868,0.0474,-62.6691,39.1542
20,0.531,-26.5556,21.6369,0.6262,-0.5442,0.0613,0.8871,0.296,73.905,73.906,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.9965,0.1209,1.008,1.4226,-0.0818,0,0,0,0.924,0.578,0.422,0,0,9.0,4,SEARCH_PHASE,-0.5442,0.0613,-62.68,39.1554
21,0.563,-26.5676,21.6384,0.6448,-0.6039,0.0742,0.9321,0.314,73.916,73.917,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.0426,0.1344,1.056,1.49,-0.1029,0,0,0,0.92,0.578,0.422,0,0,8.5,4,SEARCH_PHASE,-0.6039,0.0742,-62.692,39.1569
22,0.591,-26.5809,21.6402,0.6644,-0.6617,0.0889,0.9786,0.334,73.928,73.929,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.088,0.15,1.104,1.5572,-0.0986,0,0,0,0.918,0.578,0.422,0,0,8.0,4,SEARCH_PHASE,-0.6617,0.0889,-62.7053,39.1587
23,0.618,-26.5953,21.6423,0.6849,-0.7217,0.1027,1.0244,0.354,73.941,73.943,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.1331,0.1664,1.152,1.6244,-0.0984,0,0,0,0.913,0.572,0.428,0,0,6.0,4,SEARCH_PHASE,-0.7217,0.1027,-62.7197,39.1608
24,0.645,-26.6109,21.6446,0.7063,-0.7804,0.1167,1.0709,0.376,73.956,73.958,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.1772,0.1853,1.2,1.6912,-0.081,0,0,0,0.911,0.572,0.428,0,0,4.0,4,SEARCH_PHASE,-0.7804,0.1167,-62.7353,39.1631
25,0.673,-26.6277,21.6472,0.7287,-0.8414,0.1298,1.1165,0.398,73.971,73.973,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.2208,0.2053,1.248,1.7579,-0.097,0,0,0,0.906,0.564,0.436,0,0,2.0,4,SEARCH_PHASE,-0.8414,0.1298,-62.7521,39.1657
26,0.701,-26.6458,21.6501,0.7519,-0.9009,0.1446,1.1627,0.421,73.988,73.99,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.2631,0.228,1.296,1.824,-0.0804,0,0,0,0.904,0.557,0.443,0,0,0.0,4,SEARCH_PHASE,-0.9009,0.1446,-62.7702,39.1686
27,0.729,-26.665,21.6532,0.7761,-0.9624,0.1581,1.2082,0.446,74.006,74.009,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.3047,0.252,1.344,1.89,-0.0977,0,0,0,0.899,0.556,0.444,0,0,0.0,4,SEARCH_PHASE,-0.9624,0.1581,-62.7894,39.1717
28,0.757,-26.6854,21.6567,0.8011,-1.0219,0.1729,1.2541,0.471,74.025,74.028,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.3453,0.2775,1.392,1.9557,-0.0813,0,0,0,0.898,0.554,0.446,0,0,0.0,4,SEARCH_PHASE,-1.0219,0.1729,-62.8098,39.1752
29,0.786,-26.7071,21.6604,0.8271,-1.0824,0.1859,1.3,0.497,74.046,74.048,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.386,0.3031,1.44,2.0215,-0.0652,0,0,0,0.894,0.55,0.45,0,0,0.0,4,SEARCH_PHASE,-1.0824,0.1859,-62.8315,39.1789
30,0.813,-26.7299,21.6644,0.8541,-1.1398,0.1995,1.3466,0.524,74.067,74.07,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.428,0.3263,1.488,2.088,-0.0956,0,0,0,0.892,0.56,0.44,0,0,0.0,4,SEARCH_PHASE,-1.1398,0.1995,-62.8543,39.1829
