step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
18,1.621,20.9256,7.7413,25.7893,-0.4298,0.0395,0.7937,0.211,31.137,40.303,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.863,0.011,0.912,1.2557,-0.7334,0,0,0,0.0,0.0,1.0,0,0,10.0,3,SEARCH_PHASE,-0.4298,0.0395,25.0623,18.4774
19,1.7,20.9159,7.7424,25.8061,-0.4863,0.0517,0.8383,0.228,31.13,40.308,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.8907,-0.0282,0.96,1.3098,-0.7758,0,0,0,0.0,0.0,1.0,0,0,9.5,3,SEARCH_PHASE,-0.4863,0.0517,25.0525,18.4785
20,1.779,20.905,7.7436,25.8237,-0.5444,0.0631,0.8826,0.246,31.122,40.313,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9183,-0.0675,1.008,1.3652,-0.7267,0,0,0,0.0,0.0,1.0,0,0,9.0,3,SEARCH_PHASE,-0.5444,0.0631,25.0416,18.4797
21,1.858,20.893,7.745,25.8423,-0.6016,0.0693,0.9274,0.264,31.113,40.318,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9459,-0.1068,1.056,1.4217,-0.7703,0,0,0,0.0,0.0,1.0,0,0,8.5,3,SEARCH_PHASE,-0.6016,0.0693,25.0296,18.4811
22,1.937,20.8798,7.7465,25.8617,-0.6601,0.0744,0.9724,0.284,31.103,40.323,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.9735,-0.1461,1.104,1.4791,-0.7205,0,0,0,0.0,0.0,1.0,0,0,8.0,3,SEARCH_PHASE,-0.6601,0.0744,25.0164,18.4826
23,2.016,20.8654,7.748,25.8821,-0.7176,0.074,1.0177,0.304,31.093,40.328,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.001,-0.1854,1.152,1.5374,-0.7648,0,0,0,0.038,0.027,0.973,0,0,6.0,3,SEARCH_PHASE,-0.7176,0.074,25.0021,18.4841
24,2.095,20.8499,7.7494,25.9034,-0.7758,0.0721,1.0634,0.325,31.081,40.332,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0286,-0.2247,1.2,1.5964,-0.7195,0,0,0,0.057,0.021,0.979,0,0,4.0,3,SEARCH_PHASE,-0.7758,0.0721,24.9865,18.4855
25,2.176,20.8333,7.7507,25.9256,-0.8326,0.0641,1.1098,0.347,31.069,40.337,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0561,-0.264,1.248,1.6561,-0.7651,0,0,0,0.095,0.046,0.954,0,0,2.0,3,SEARCH_PHASE,-0.8326,0.0641,24.9699,18.4868
26,2.258,20.8155,7.7518,25.9487,-0.8878,0.0535,1.1574,0.37,31.055,40.341,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.0836,-0.3033,1.296,1.7163,-0.7133,0,0,0,0.109,0.041,0.959,0,0,0.0,3,SEARCH_PHASE,-0.8878,0.0535,24.9521,18.4879
27,2.34,20.7967,7.7525,25.9728,-0.9389,0.0355,1.2053,0.395,31.04,40.345,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1111,-0.3427,1.344,1.7771,-0.7366,0,0,0,0.137,0.055,0.945,0,0,0.0,3,SEARCH_PHASE,-0.9389,0.0355,24.9334,18.4886
28,2.421,20.777,7.7528,25.9979,-0.9883,0.0144,1.2541,0.42,31.025,40.349,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1385,-0.3821,1.392,1.8384,-0.6845,0,0,0,0.168,0.061,0.939,0,0,0.0,3,SEARCH_PHASE,-0.9883,0.0144,24.9136,18.4889
