step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
19,0.151,-6.2908,7.5473,1.9333,-0.5223,-0.096,0.835,0.228,14.485,14.588,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.8771,-0.0476,0.96,1.3012,0.6286,0,0,0,0.726,0.36,0.64,0,0,8.5,2,SEARCH_PHASE,-0.5223,-0.096
20,0.158,-6.3024,7.5451,1.9509,-0.5806,-0.1093,0.8783,0.245,14.48,14.585,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.8911,-0.0017,1.008,1.3454,0.6391,0,0,0,0.721,0.354,0.646,0,0,8.0,2,SEARCH_PHASE,-0.5806,-0.1093
21,0.166,-6.3151,7.5427,1.9693,-0.6363,-0.1233,0.9217,0.264,14.473,14.581,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9051,0.0443,1.056,1.3915,0.6668,0,0,0,0.722,0.353,0.647,0,0,7.5,2,SEARCH_PHASE,-0.6363,-0.1233
22,0.173,-6.329,7.5399,1.9886,-0.6938,-0.1355,0.9651,0.283,14.467,14.577,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.919,0.0902,1.104,1.4393,0.6336,0,0,0,0.729,0.36,0.64,0,0,7.0,2,SEARCH_PHASE,-0.6938,-0.1355
23,0.181,-6.344,7.5371,2.0088,-0.7507,-0.1432,1.0095,0.303,14.46,14.572,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9329,0.1361,1.152,1.4886,0.6542,0,0,0,0.731,0.375,0.625,0,0,5.0,2,SEARCH_PHASE,-0.7507,-0.1432
24,0.188,-6.3601,7.5341,2.0299,-0.8021,-0.1487,1.0558,0.324,14.452,14.567,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9467,0.1821,1.2,1.5393,0.6233,0,0,0,0.738,0.385,0.615,0,0,3.0,2,SEARCH_PHASE,-0.8021,-0.1487
25,0.196,-6.3771,7.5311,2.052,-0.8525,-0.1496,1.1027,0.346,14.443,14.562,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9814,0.1489,1.248,1.5946,0.643,0,0,0,0.965,0.396,0.604,0,0,1.0,2,SEARCH_PHASE,-0.8525,-0.1496
26,0.204,-6.395,7.5281,2.075,-0.897,-0.1482,1.1515,0.369,14.434,14.556,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.0146,0.1143,1.296,1.6499,0.6146,0,0,0,0.965,0.387,0.613,0,0,0.0,2,SEARCH_PHASE,-0.897,-0.1482
27,0.211,-6.4138,7.5253,2.099,-0.9399,-0.1421,1.2007,0.393,14.425,14.549,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.0473,0.0791,1.344,1.7057,0.632,0,0,0,0.963,0.392,0.608,0,0,0.0,2,SEARCH_PHASE,-0.9399,-0.1421
28,0.219,-6.4334,7.5226,2.124,-0.9761,-0.1335,1.2502,0.418,14.415,14.543,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.0797,0.0437,1.392,1.7622,0.5876,0,0,0,0.961,0.393,0.607,0,0,0.0,2,SEARCH_PHASE,-0.9761,-0.1335
29,0.226,-6.4536,7.5202,2.15,-1.0101,-0.1203,1.2989,0.444,14.404,14.535,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.1083,0.0052,1.44,1.8171,0.614,0,0,0,0.961,0.408,0.592,0,0,0.0,2,SEARCH_PHASE,-1.0101,-0.1203
30,0.234,-6.4744,7.5181,2.177,-1.0421,-0.1065,1.3474,0.471,14.393,14.528,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.1395,-0.0314,1.488,1.8744,0.5641,0,0,0,0.959,0.406,0.594,0,0,0.0,2,SEARCH_PHASE,-1.0421,-0.1065
31,0.241,-6.4958,7.5163,2.2049,-1.0696,-0.0889,1.3953,0.499,14.381,14.52,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.1726,-0.0661,1.536,1.9336,0.5541,0,0,0,0.956,0.403,0.597,0,0,0.0,2,SEARCH_PHASE,-1.0696,-0.0889
32,0.249,-6.5177,7.5149,2.2337,-1.094,-0.072,1.4433,0.528,14.368,14.511,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2084,-0.0981,1.584,1.9947,0.5322,0,0,0,0.953,0.402,0.598,0,0,0.0,2,SEARCH_PHASE,-1.094,-0.072
33,0.256,-6.5401,7.5138,2.2636,-1.119,-0.0565,1.4912,0.558,14.355,14.503,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2453,-0.1288,1.632,2.0569,0.5426,0,0,0,0.95,0.393,0.607,0,0,0.0,2,SEARCH_PHASE,-1.119,-0.0565
34,0.264,-6.5628,7.5129,2.2944,-1.1395,-0.0439,1.5395,0.589,14.342,14.494,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2568,-0.0821,1.68,2.0997,0.4927,0,0,0,0.735,0.374,0.626,0,0,0.0,2,SEARCH_PHASE,-1.1395,-0.0439
35,0.271,-6.586,7.5122,2.3261,-1.1599,-0.0327,1.5878,0.62,14.328,14.485,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2683,-0.0355,1.7,2.1213,0.5364,0,0,0,0.731,0.373,0.627,0,0,0.0,2,SEARCH_PHASE,-1.1599,-0.0327
36,0.279,-6.6097,7.5117,2.3586,-1.1805,-0.0276,1.6256,0.653,14.314,14.476,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2806,0.0108,1.7,2.1284,0.5179,0,0,0,0.73,0.366,0.634,0,0,0.0,2,SEARCH_PHASE,-1.1805,-0.0276
37,0.287,-6.6336,7.5112,2.3916,-1.1994,-0.0237,1.6496,0.686,14.299,14.466,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.292,0.0575,1.7,2.136,0.5282,0,0,0,0.725,0.362,0.638,0,0,0.0,2,SEARCH_PHASE,-1.1994,-0.0237
38,0.295,-6.6579,7.5108,2.4249,-1.2148,-0.0219,1.665,0.719,14.285,14.457,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.304,0.104,1.7,2.145,0.5639,0,0,0,0.725,0.366,0.634,0,0,0.0,2,SEARCH_PHASE,-1.2148,-0.0219
39,0.303,-6.6825,7.5103,2.4584,-1.2302,-0.0207,1.6746,0.753,14.27,14.448,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3162,0.1504,1.7,2.1553,0.5311,0,0,0,0.723,0.368,0.632,0,0,0.0,2,SEARCH_PHASE,-1.2302,-0.0207
40,0.31,-6.7074,7.51,2.492,-1.2452,-0.0167,1.681,0.786,14.255,14.438,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3309,0.1961,1.7,2.1679,0.5662,0,0,0,0.725,0.375,0.625,0,0,0.0,2,SEARCH_PHASE,-1.2452,-0.0167
41,0.318,-6.7326,7.5098,2.5257,-1.2587,-0.0122,1.6855,0.82,14.24,14.428,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3455,0.2418,1.7,2.1815,0.5528,0,0,0,0.724,0.38,0.62,0,0,0.0,2,SEARCH_PHASE,-1.2587,-0.0122
42,0.326,-6.758,7.5097,2.5595,-1.2704,-0.004,1.6891,0.854,14.224,14.419,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3629,0.2865,1.7,2.1976,0.5483,0,0,0,0.727,0.386,0.614,0,0,0.0,2,SEARCH_PHASE,-1.2704,-0.004
43,0.334,-6.7837,7.5098,2.5934,-1.2828,0.0073,1.692,0.888,14.208,14.409,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3807,0.3311,1.7,2.215,0.5513,0,0,0,0.726,0.387,0.613,0,0,0.0,2,SEARCH_PHASE,-1.2828,0.0073
44,0.342,-6.8095,7.5103,2.6273,-1.2928,0.0216,1.6947,0.922,14.192,14.398,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4023,0.374,1.7,2.2353,0.553,0,0,0,0.728,0.375,0.625,0,0,0.0,2,SEARCH_PHASE,-1.2928,0.0216
45,0.349,-6.8356,7.5111,2.6612,-1.3038,0.0395,1.6973,3.253,14.176,14.388,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.425,0.4163,1.7,2.257,0.5551,0,0,0,0.728,0.375,0.625,0,0,0.0,2,SEARCH_PHASE,-1.3038,0.0395
46,0.358,-6.8619,7.5123,2.6952,-1.3128,0.0615,1.6997,3.286,14.159,14.377,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4493,0.4577,1.7,2.2803,0.5321,0,0,0,0.728,0.377,0.623,0,0,0.0,2,SEARCH_PHASE,-1.3128,0.0615
47,0.365,-6.8883,7.514,2.7292,-1.3236,0.0882,1.7016,3.32,14.142,14.366,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4727,0.4995,1.7,2.304,0.5367,0,0,0,0.726,0.38,0.62,0,0,0.0,2,SEARCH_PHASE,-1.3236,0.0882
48,0.373,-6.915,7.5164,2.7633,-1.3338,0.1179,1.7036,3.354,14.124,14.354,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4995,0.5394,1.7,2.3301,0.5284,0,0,0,0.726,0.383,0.617,0,0,0.0,2,SEARCH_PHASE,-1.3338,0.1179
49,0.381,-6.942,7.5194,2.7974,-1.3467,0.1512,1.7049,3.388,14.105,14.342,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5263,0.5793,1.7,2.3569,0.5292,0,0,0,0.725,0.375,0.625,0,0,0.0,2,SEARCH_PHASE,-1.3467,0.1512
50,0.389,-6.9691,7.5232,2.8315,-1.3584,0.1878,1.7059,3.422,14.086,14.329,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5513,0.6202,1.7,2.3835,0.5002,0,0,0,0.723,0.374,0.626,0,0,0.0,2,SEARCH_PHASE,-1.3584,0.1878
51,0.397,-6.9966,7.5277,2.8656,-1.3723,0.2279,1.706,3.456,14.065,14.316,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5801,0.6586,1.7,2.4126,0.5364,0,0,0,0.724,0.372,0.628,0,0,0.0,2,SEARCH_PHASE,-1.3723,0.2279
