step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
23,0.175,-6.3435,7.5369,2.0091,-0.7415,-0.15,1.0135,0.303,14.46,14.573,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9578,0.0736,1.152,1.5,0.6712,0,0,0,0.731,0.371,0.629,0,0,5.0
24,0.182,-6.3594,7.5338,2.0303,-0.794,-0.1582,1.059,0.325,14.452,14.568,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9705,0.1199,1.2,1.548,0.62,0,0,0,0.731,0.375,0.625,0,0,3.0
25,0.19,-6.3763,7.5306,2.0524,-0.8437,-0.1599,1.1052,0.347,14.444,14.563,-15.4453,18.7729,0.2,0.0,0.0,0.0,-0.9832,0.1662,1.248,1.5974,0.6653,0,0,0,0.736,0.392,0.608,0,0,1.0
26,0.197,-6.3941,7.5274,2.0755,-0.8924,-0.1594,1.1524,0.37,14.436,14.557,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.0174,0.1325,1.296,1.6529,0.6207,0,0,0,0.963,0.383,0.617,0,0,0.0
27,0.205,-6.4129,7.5244,2.0995,-0.9381,-0.1518,1.2005,0.394,14.426,14.551,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.0472,0.0949,1.344,1.7065,0.6415,0,0,0,0.963,0.39,0.61,0,0,0.0
28,0.213,-6.4325,7.5215,2.1245,-0.9803,-0.1407,1.2494,0.419,14.416,14.544,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.0767,0.057,1.392,1.7607,0.5897,0,0,0,0.961,0.395,0.605,0,0,0.0
29,0.22,-6.4529,7.5191,2.1504,-1.0179,-0.1238,1.2975,0.445,14.405,14.537,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.1074,0.0201,1.44,1.8167,0.5759,0,0,0,0.96,0.404,0.596,0,0,0.0
30,0.228,-6.4739,7.517,2.1773,-1.0527,-0.1056,1.3455,0.472,14.394,14.529,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.1408,-0.0144,1.488,1.875,0.5578,0,0,0,0.958,0.4,0.6,0,0,0.0
31,0.235,-6.4956,7.5152,2.2052,-1.0831,-0.0872,1.3932,0.499,14.382,14.521,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.1724,-0.0505,1.536,1.9329,0.5407,0,0,0,0.956,0.402,0.598,0,0,0.0
32,0.243,-6.5178,7.5138,2.234,-1.1127,-0.0695,1.4412,0.528,14.369,14.512,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2073,-0.0835,1.584,1.9934,0.5479,0,0,0,0.953,0.401,0.599,0,0,0.0
33,0.25,-6.5406,7.5127,2.2638,-1.1368,-0.0539,1.4893,0.558,14.356,14.503,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.224,-0.0385,1.632,2.0404,0.5177,0,0,0,0.741,0.391,0.609,0,0,0.0
34,0.258,-6.5638,7.512,2.2946,-1.1605,-0.0388,1.5377,0.589,14.342,14.494,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2399,0.0068,1.68,2.088,0.5323,0,0,0,0.737,0.382,0.618,0,0,0.0
35,0.265,-6.5874,7.5114,2.3263,-1.1817,-0.0272,1.5864,0.62,14.328,14.485,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2577,0.0514,1.7,2.1153,0.5173,0,0,0,0.736,0.381,0.619,0,0,0.0
36,0.273,-6.6115,7.5111,2.3588,-1.2028,-0.0173,1.6247,0.653,14.313,14.475,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2739,0.0966,1.7,2.1265,0.5225,0,0,0,0.731,0.375,0.625,0,0,0.0
37,0.281,-6.6358,7.5109,2.3918,-1.2191,-0.01,1.6491,0.686,14.298,14.465,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.2911,0.1414,1.7,2.1394,0.5623,0,0,0,0.73,0.378,0.622,0,0,0.0
38,0.288,-6.6606,7.5108,2.4251,-1.2358,-0.0041,1.6647,0.719,14.283,14.455,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3104,0.1853,1.7,2.1544,0.5374,0,0,0,0.731,0.385,0.615,0,0,0.0
39,0.296,-6.6856,7.5109,2.4586,-1.252,0.0045,1.6749,0.753,14.268,14.445,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.329,0.2296,1.7,2.17,0.5425,0,0,0,0.729,0.382,0.618,0,0,0.0
40,0.303,-6.7109,7.5112,2.4922,-1.2654,0.0141,1.6819,0.786,14.252,14.435,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3501,0.2727,1.7,2.188,0.5381,0,0,0,0.73,0.385,0.615,0,0,0.0
41,0.311,-6.7365,7.5117,2.5259,-1.2796,0.0254,1.6868,0.82,14.236,14.425,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3708,0.316,1.7,2.2066,0.5415,0,0,0,0.728,0.388,0.612,0,0,0.0
42,0.318,-6.7623,7.5124,2.5598,-1.2916,0.0386,1.6906,0.854,14.219,14.414,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3946,0.3577,1.7,2.2277,0.5467,0,0,0,0.729,0.379,0.621,0,0,0.0
