step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
0,0.0,20.9748,7.7392,25.6487,0.0,0.0,0.0,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.048,-0.0011,0.048,0.0679,-0.7981,0,0,0,0.979,0.68,0.32,0,0,0.0
1,0.128,20.9748,7.7392,25.6491,0.0,0.0,0.0186,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.096,-0.0016,0.096,0.1358,-0.794,0,0,0,0.978,0.68,0.32,0,0,0.0
2,0.251,20.9748,7.7392,25.65,-0.0,0.0,0.0478,0.072,31.176,40.245,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.144,-0.0017,0.144,0.2036,-0.7915,0,0,0,0.978,0.68,0.32,0,0,0.0
3,0.375,20.9748,7.7392,25.6517,-0.003,-0.0,0.0844,0.074,31.176,40.246,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.192,-0.0004,0.192,0.2715,-0.7868,0,0,0,0.978,0.68,0.32,0,0,1.0
4,0.501,20.9746,7.7392,25.6542,-0.006,-0.0001,0.1255,0.076,31.175,40.247,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2399,0.0013,0.24,0.3394,-0.7747,0,0,0,0.978,0.68,0.32,0,0,2.0
5,0.582,20.9744,7.7392,25.6576,-0.0123,-0.0004,0.1699,0.079,31.175,40.249,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2878,0.0047,0.288,0.4072,-0.7979,0,0,0,0.978,0.68,0.32,0,0,3.0
6,0.663,20.974,7.7392,25.662,-0.0213,0.0,0.2164,0.084,31.175,40.252,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3357,0.0073,0.336,0.4751,-0.7619,0,0,0,0.976,0.679,0.321,0,0,4.0
7,0.743,20.9732,7.7391,25.6672,-0.0366,-0.0017,0.2638,0.089,31.174,40.254,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3835,0.0117,0.384,0.5429,-0.7859,0,0,0,0.976,0.679,0.321,0,0,5.0
8,0.823,20.9721,7.7391,25.6735,-0.0542,-0.0022,0.3122,0.095,31.173,40.258,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4312,0.0172,0.432,0.6106,-0.7497,0,0,0,0.976,0.679,0.321,0,0,6.0
9,0.903,20.9706,7.739,25.6807,-0.0775,-0.0043,0.3606,0.102,31.172,40.261,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4788,0.0239,0.48,0.6784,-0.7742,0,0,0,0.976,0.678,0.322,0,0,7.0
