step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,4.7101,1.3306,4.1908,0.0,0.0,0.0,0.071,12.481,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.048,-0.0012,0.048,0.0679,-0.8284,0,0,0,0.979,0.631,0.369,0,0,0.0,2,SEARCH_PHASE,0.0,0.0,10.7115,6.4065
1,0.008,4.7101,1.3306,4.1912,0.0,0.0,0.0186,0.071,12.481,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.096,-0.0016,0.096,0.1358,-0.8243,0,0,0,0.978,0.629,0.371,0,0,0.0,2,SEARCH_PHASE,0.0,0.0,10.7115,6.4065
2,0.016,4.7101,1.3306,4.1921,-0.0,-0.0,0.0478,0.072,12.481,13.104,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.144,-0.0018,0.144,0.2036,-0.8218,0,0,0,0.978,0.629,0.371,0,0,0.0,2,SEARCH_PHASE,-0.0,-0.0,10.7115,6.4065
3,0.024,4.7101,1.3306,4.1938,-0.003,-0.0,0.0844,0.074,12.481,13.105,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.192,-0.0005,0.192,0.2715,-0.8174,0,0,0,0.978,0.634,0.366,0,0,1.0,2,SEARCH_PHASE,-0.003,-0.0,10.7114,6.4065
4,0.031,4.7099,1.3306,4.1963,-0.006,-0.0001,0.1255,0.076,12.481,13.105,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.2399,0.0012,0.24,0.3394,-0.8042,0,0,0,0.978,0.647,0.353,0,0,2.0,2,SEARCH_PHASE,-0.006,-0.0001,10.7113,6.4065
5,0.039,4.7097,1.3306,4.1997,-0.0123,-0.0005,0.1699,0.079,12.481,13.106,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.2878,0.0047,0.288,0.4072,-0.8274,0,0,0,0.978,0.641,0.359,0,0,3.0,2,SEARCH_PHASE,-0.0123,-0.0005,10.7111,6.4065
6,0.047,4.7093,1.3306,4.2041,-0.0213,0.0,0.2164,0.084,12.48,13.107,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.3357,0.0073,0.336,0.475,-0.7914,0,0,0,0.976,0.588,0.412,0,0,4.0,2,SEARCH_PHASE,-0.0213,0.0,10.7106,6.4065
7,0.055,4.7085,1.3306,4.2093,-0.0366,-0.0015,0.2638,0.089,12.48,13.108,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.3835,0.0117,0.384,0.5429,-0.8154,0,0,0,0.976,0.581,0.419,0,0,5.0,2,SEARCH_PHASE,-0.0366,-0.0015,10.7099,6.4065
8,0.063,4.7074,1.3305,4.2156,-0.0541,-0.0018,0.3122,0.095,12.479,13.109,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.4312,0.0173,0.432,0.6106,-0.7792,0,0,0,0.976,0.556,0.444,0,0,6.0,2,SEARCH_PHASE,-0.0541,-0.0018,10.7088,6.4064
9,0.071,4.7059,1.3305,4.2228,-0.0774,-0.0036,0.3606,0.102,12.477,13.11,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-0.4787,0.0241,0.48,0.6784,-0.8037,0,0,0,0.976,0.527,0.473,0,0,7.0,2,SEARCH_PHASE,-0.0774,-0.0036,10.7073,6.4064
