step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,8.9492,1.5302,3.9063,0.0,0.0,0.0,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.048,-0.0007,0.048,0.0679,-0.8284,0,0,0,0.979,0.616,0.384,0,0,0.0,5,SEARCH_PHASE,0.0,0.0,8.5519,5.1149
1,0.048,8.9492,1.5302,3.9067,0.0,0.0,0.0186,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.096,-0.0008,0.096,0.1358,-0.8239,0,0,0,0.978,0.577,0.423,0,0,0.0,5,SEARCH_PHASE,0.0,0.0,8.5519,5.1149
2,0.092,8.9492,1.5302,3.9076,-0.0,-0.0,0.0478,0.072,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.144,-0.0007,0.144,0.2036,-0.8228,0,0,0,0.978,0.588,0.412,0,0,0.0,5,SEARCH_PHASE,-0.0,-0.0,8.5519,5.1149
3,0.138,8.9492,1.5302,3.9093,-0.003,-0.0,0.0844,0.074,9.965,10.633,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.192,0.0008,0.192,0.2715,-0.8128,0,0,0,0.978,0.551,0.449,0,0,0.0,5,SEARCH_PHASE,-0.003,-0.0,8.5519,5.1149
4,0.184,8.949,1.5302,3.9118,-0.0061,-0.0001,0.1255,0.076,9.965,10.634,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2399,0.0025,0.24,0.3394,-0.8206,0,0,0,0.978,0.572,0.428,0,0,0.0,5,SEARCH_PHASE,-0.0061,-0.0001,8.5518,5.1149
5,0.23,8.9488,1.5302,3.9152,-0.0123,-0.0001,0.1699,0.079,9.964,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2878,0.0061,0.288,0.4072,-0.7773,0,0,0,0.978,0.513,0.487,0,0,0.0,5,SEARCH_PHASE,-0.0123,-0.0001,8.5515,5.1149
6,0.274,8.9484,1.5302,3.9196,-0.0214,-0.0008,0.2164,0.084,9.964,10.636,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3357,0.0091,0.336,0.4751,-0.8074,0,0,0,0.976,0.479,0.521,0,0,0.0,5,SEARCH_PHASE,-0.0214,-0.0008,8.5511,5.1149
7,0.32,8.9476,1.5302,3.9248,-0.0368,0.0015,0.2637,0.089,9.963,10.637,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3835,0.0139,0.384,0.5429,-0.7878,0,0,0,0.976,0.453,0.547,0,0,0.0,5,SEARCH_PHASE,-0.0368,0.0015,8.5503,5.1149
8,0.365,8.9465,1.5303,3.9311,-0.0556,0.0035,0.3123,0.095,9.963,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4312,0.0192,0.432,0.6107,-0.8171,0,0,0,0.976,0.42,0.58,0,0,0.0,5,SEARCH_PHASE,-0.0556,0.0035,8.5492,5.115
9,0.411,8.9449,1.5304,3.9383,-0.0805,0.0067,0.3608,0.102,9.961,10.64,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4788,0.0255,0.48,0.6784,-0.7742,0,0,0,0.974,0.364,0.636,0,0,0.0,5,SEARCH_PHASE,-0.0805,0.0067,8.5476,5.1151
10,0.456,8.9427,1.5306,3.9465,-0.1087,0.0076,0.4099,0.111,9.959,10.641,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5261,0.0334,0.528,0.7461,-0.8026,0,0,0,0.974,0.336,0.664,0,0,0.0,5,SEARCH_PHASE,-0.1087,0.0076,8.5454,5.1152
11,0.504,8.9399,1.5308,3.9557,-0.1435,0.0103,0.4583,0.12,9.957,10.642,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5733,0.0424,0.576,0.8138,-0.7675,0,0,0,0.974,0.307,0.693,0,0,0.0,5,SEARCH_PHASE,-0.1435,0.0103,8.5426,5.1154
12,0.552,8.9362,1.531,3.9658,-0.182,0.0113,0.5064,0.13,9.954,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.6202,0.0526,0.624,0.8813,-0.7848,0,0,0,0.972,0.275,0.725,0,0,0.0,5,SEARCH_PHASE,-0.182,0.0113,8.5389,5.1157
13,0.599,8.9317,1.5313,3.9769,-0.2235,0.014,0.5546,0.141,9.95,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.6669,0.0635,0.672,0.9489,-0.7545,0,0,0,0.972,0.254,0.746,0,0,0.0,5,SEARCH_PHASE,-0.2235,0.014,8.5345,5.116
14,0.647,8.9264,1.5316,3.9889,-0.2686,0.0157,0.6024,0.153,9.946,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.7128,0.0775,0.72,1.0161,-0.7721,0,0,0,0.971,0.21,0.79,0,0,0.0,5,SEARCH_PHASE,-0.2686,0.0157,8.5291,5.1163
15,0.694,8.9201,1.532,4.0019,-0.3148,0.0196,0.6503,0.166,9.941,10.643,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.7578,0.0944,0.768,1.083,-0.7467,0,0,0,0.969,0.185,0.815,0,0,0.0,5,SEARCH_PHASE,-0.3148,0.0196,8.5228,5.1167
16,0.742,8.9128,1.5324,4.0159,-0.3663,0.0227,0.6969,0.18,9.935,10.642,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.8033,0.1096,0.816,1.1503,-0.7394,0,0,0,0.969,0.164,0.836,0,0,0.0,5,SEARCH_PHASE,-0.3663,0.0227,8.5155,5.1171
17,0.787,8.9044,1.533,4.0308,-0.4195,0.0279,0.7437,0.195,9.928,10.641,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.8483,0.1263,0.864,1.2174,-0.7638,0,0,0,0.969,0.156,0.844,0,0,0.0,5,SEARCH_PHASE,-0.4195,0.0279,8.5071,5.1177
18,0.832,8.8949,1.5337,4.0466,-0.4747,0.0349,0.7901,0.211,9.92,10.64,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.878,0.0885,0.912,1.269,-0.7144,0,0,0,0.457,0.134,0.866,0,0,0.0,5,SEARCH_PHASE,-0.4747,0.0349,8.4976,5.1184
19,0.876,8.8843,1.5345,4.0633,-0.5287,0.041,0.8363,0.227,9.911,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9076,0.0508,0.96,1.3221,-0.7578,0,0,0,0.463,0.135,0.865,0,0,0.0,5,SEARCH_PHASE,-0.5287,0.041,8.487,5.1192
20,0.921,8.8726,1.5355,4.0809,-0.5838,0.0505,0.8816,0.245,9.902,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9373,0.013,1.008,1.3765,-0.7076,0,0,0,0.453,0.126,0.874,0,0,0.0,5,SEARCH_PHASE,-0.5838,0.0505,8.4753,5.1202
21,0.966,8.8599,1.5367,4.0995,-0.6374,0.0588,0.9269,0.264,9.892,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9668,-0.0248,1.056,1.432,-0.7517,0,0,0,0.46,0.133,0.867,0,0,0.0,5,SEARCH_PHASE,-0.6374,0.0588,8.4626,5.1214
22,1.01,8.846,1.5381,4.1189,-0.6917,0.07,0.9715,0.283,9.881,10.629,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9963,-0.0626,1.104,1.4884,-0.7432,0,0,0,0.458,0.135,0.865,0,0,0.0,5,SEARCH_PHASE,-0.6917,0.07,8.4488,5.1228
23,1.053,8.8311,1.5397,4.1392,-0.7444,0.0795,1.0169,0.303,9.869,10.626,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0258,-0.1005,1.152,1.5458,-0.7774,0,0,0,0.473,0.143,0.857,0,0,0.0,5,SEARCH_PHASE,-0.7444,0.0795,8.4339,5.1244
24,1.094,8.8152,1.5414,4.1605,-0.7979,0.0871,1.0629,0.325,9.856,10.622,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0552,-0.1385,1.2,1.6039,-0.7262,0,0,0,0.472,0.141,0.859,0,0,0.0,5,SEARCH_PHASE,-0.7979,0.0871,8.4179,5.1261
25,1.136,8.7982,1.5432,4.1827,-0.8496,0.0891,1.1093,0.347,9.842,10.618,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0845,-0.1765,1.248,1.6628,-0.7716,0,0,0,0.487,0.148,0.852,0,0,0.0,5,SEARCH_PHASE,-0.8496,0.0891,8.4009,5.1279
26,1.177,8.7802,1.545,4.2058,-0.9015,0.0898,1.1562,0.37,9.828,10.613,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1138,-0.2145,1.296,1.7223,-0.7255,0,0,0,0.494,0.155,0.845,0,0,0.0,5,SEARCH_PHASE,-0.9015,0.0898,8.3829,5.1297
27,1.217,8.7611,1.5467,4.2299,-0.9515,0.0844,1.2038,0.394,9.812,10.608,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.143,-0.2527,1.344,1.7823,-0.7716,0,0,0,0.516,0.161,0.839,0,0,0.0,5,SEARCH_PHASE,-0.9515,0.0844,8.3639,5.1314
28,1.258,8.7411,1.5482,4.2549,-0.9998,0.0766,1.2527,0.419,9.796,10.602,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.172,-0.2908,1.392,1.8428,-0.7194,0,0,0,0.523,0.161,0.839,0,0,0.0,5,SEARCH_PHASE,-0.9998,0.0766,8.3439,5.1329
29,1.299,8.7203,1.5495,4.281,-1.0443,0.0615,1.3017,0.445,9.779,10.596,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.201,-0.3291,1.44,1.9038,-0.7658,0,0,0,0.543,0.173,0.827,0,0,0.0,5,SEARCH_PHASE,-1.0443,0.0615,8.323,5.1341
30,1.339,8.6985,1.5503,4.308,-1.087,0.0436,1.3516,0.472,9.761,10.59,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2299,-0.3675,1.488,1.9651,-0.7138,0,0,0,0.55,0.18,0.82,0,0,0.0,5,SEARCH_PHASE,-1.087,0.0436,8.3012,5.135
31,1.379,8.676,1.5507,4.336,-1.1259,0.0177,1.4009,0.5,9.742,10.584,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2586,-0.4059,1.536,2.0269,-0.7392,0,0,0,0.566,0.21,0.79,0,0,0.0,5,SEARCH_PHASE,-1.1259,0.0177,8.2787,5.1354
32,1.419,8.6527,1.5505,4.365,-1.1628,-0.0116,1.4507,0.529,9.722,10.577,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2873,-0.4444,1.584,2.0889,-0.6874,0,0,0,0.57,0.205,0.795,0,0,0.0,5,SEARCH_PHASE,-1.1628,-0.0116,8.2555,5.1351
