step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
18,1.13,9.8417,2.7945,4.0469,-0.4336,0.0191,0.7943,0.211,15.749,16.212,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.871,0.0253,0.912,1.2613,-0.7234,0,0,0,0.451,0.191,0.809,0,0,8.0,6,SEARCH_PHASE,-0.4336,0.0191,13.503,8.1059
19,1.192,9.8318,2.795,4.0637,-0.4904,0.0281,0.839,0.228,15.741,16.208,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.9033,-0.0102,0.96,1.3182,-0.7656,0,0,0,0.453,0.188,0.812,0,0,7.5,6,SEARCH_PHASE,-0.4904,0.0281,13.4932,8.1064
20,1.255,9.8209,2.7958,4.0814,-0.5473,0.0405,0.883,0.246,15.732,16.204,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.9356,-0.0457,1.008,1.376,-0.781,0,0,0,0.453,0.184,0.816,0,0,7.0,6,SEARCH_PHASE,-0.5473,0.0405,13.4822,8.1073
21,1.317,9.8088,2.7969,4.0999,-0.6028,0.052,0.9283,0.264,15.722,16.199,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-0.9679,-0.0812,1.056,1.4347,-0.7589,0,0,0,0.451,0.191,0.809,0,0,6.5,6,SEARCH_PHASE,-0.6028,0.052,13.4702,8.1083
22,1.379,9.7956,2.7981,4.1194,-0.661,0.0599,0.9729,0.284,15.712,16.193,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.0001,-0.1167,1.104,1.4942,-0.7789,0,0,0,0.451,0.189,0.811,0,0,6.0,6,SEARCH_PHASE,-0.661,0.0599,13.4569,8.1095
23,1.44,9.7813,2.7994,4.1398,-0.7181,0.0669,1.0184,0.304,15.7,16.187,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.0323,-0.1523,1.152,1.5543,-0.7524,0,0,0,0.462,0.191,0.809,0,0,4.0,6,SEARCH_PHASE,-0.7181,0.0669,13.4426,8.1108
24,1.505,9.7658,2.8008,4.161,-0.7746,0.0693,1.0644,0.325,15.687,16.18,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.0645,-0.1879,1.2,1.6151,-0.7634,0,0,0,0.462,0.19,0.81,0,0,2.0,6,SEARCH_PHASE,-0.7746,0.0693,13.4271,8.1122
25,1.567,9.7492,2.8022,4.1833,-0.8284,0.0701,1.1113,0.347,15.674,16.172,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.0966,-0.2236,1.248,1.6763,-0.744,0,0,0,0.474,0.181,0.819,0,0,0.0,6,SEARCH_PHASE,-0.8284,0.0701,13.4105,8.1136
26,1.632,9.7315,2.8035,4.2064,-0.8836,0.0666,1.1578,0.371,15.66,16.164,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.1287,-0.2593,1.296,1.7381,-0.7664,0,0,0,0.488,0.187,0.813,0,0,0.0,6,SEARCH_PHASE,-0.8836,0.0666,13.3928,8.1149
27,1.693,9.7128,2.8048,4.2305,-0.9364,0.0612,1.2056,0.395,15.644,16.155,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.1608,-0.295,1.344,1.8002,-0.7308,0,0,0,0.497,0.193,0.807,0,0,0.0,6,SEARCH_PHASE,-0.9364,0.0612,13.3741,8.1162
28,1.755,9.6931,2.8058,4.2556,-0.9868,0.05,1.2538,0.42,15.628,16.145,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.1928,-0.3308,1.392,1.8627,-0.7615,0,0,0,0.515,0.204,0.796,0,0,0.0,6,SEARCH_PHASE,-0.9868,0.05,13.3544,8.1172
29,1.82,9.6724,2.8065,4.2817,-1.0352,0.037,1.3029,0.446,15.61,16.135,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.2247,-0.3666,1.44,1.9256,-0.7159,0,0,0,0.522,0.2,0.8,0,0,0.0,6,SEARCH_PHASE,-1.0352,0.037,13.3337,8.1179
30,1.882,9.6508,2.8069,4.3087,-1.0796,0.0177,1.352,0.473,15.592,16.124,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.2566,-0.4025,1.488,1.9888,-0.7483,0,0,0,0.536,0.201,0.799,0,0,0.0,6,SEARCH_PHASE,-1.0796,0.0177,13.3121,8.1183
31,1.943,9.6283,2.8068,4.3367,-1.1224,-0.0032,1.4017,0.501,15.573,16.113,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.2884,-0.4384,1.536,2.0522,-0.7009,0,0,0,0.541,0.206,0.794,0,0,0.0,6,SEARCH_PHASE,-1.1224,-0.0032,13.2896,8.1182
32,2.005,9.6051,2.8062,4.3658,-1.1616,-0.0301,1.4508,0.53,15.553,16.101,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.3202,-0.4744,1.584,2.1159,-0.7345,0,0,0,0.552,0.211,0.789,0,0,0.0,6,SEARCH_PHASE,-1.1616,-0.0301,13.2664,8.1176
33,2.066,9.5811,2.805,4.3958,-1.1996,-0.058,1.5003,0.56,15.532,16.089,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.3519,-0.5105,1.632,2.1798,-0.6855,0,0,0,0.554,0.21,0.79,0,0,0.0,6,SEARCH_PHASE,-1.1996,-0.058,13.2424,8.1164
34,2.127,9.5564,2.8032,4.4267,-1.2347,-0.0916,1.549,0.591,15.51,16.075,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.3835,-0.5466,1.68,2.2439,-0.7202,0,0,0,0.563,0.212,0.788,0,0,0.0,6,SEARCH_PHASE,-1.2347,-0.0916,13.2177,8.1146
35,2.188,9.531,2.8007,4.4587,-1.2689,-0.1258,1.5979,0.623,15.487,16.062,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.415,-0.5828,1.7,2.2873,-0.6698,0,0,0,0.564,0.213,0.787,0,0,0.0,6,SEARCH_PHASE,-1.2689,-0.1258,13.1923,8.1121
36,2.251,9.505,2.7974,4.4914,-1.2993,-0.1636,1.636,0.656,15.463,16.047,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.4465,-0.619,1.7,2.3164,-0.7044,0,0,0,0.571,0.216,0.784,0,0,0.0,6,SEARCH_PHASE,-1.2993,-0.1636,13.1664,8.1088
37,2.313,9.4785,2.7934,4.5246,-1.3273,-0.1995,1.6609,0.689,15.438,16.033,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.4779,-0.6554,1.7,2.346,-0.6664,0,0,0,0.572,0.226,0.774,0,0,0.0,6,SEARCH_PHASE,-1.3273,-0.1995,13.1398,8.1048
38,2.378,9.4514,2.7887,4.5582,-1.3526,-0.2381,1.6767,0.722,15.413,16.017,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.5092,-0.6918,1.7,2.3762,-0.7,0,0,0,0.578,0.229,0.771,0,0,0.0,6,SEARCH_PHASE,-1.3526,-0.2381,13.1128,8.1001
39,2.439,9.4239,2.7831,4.5919,-1.3774,-0.2767,1.687,0.756,15.386,16.001,-3.6613,-5.3114,0.2,0.0,0.0,0.0,-1.5404,-0.7282,1.7,2.4069,-0.6517,0,0,0,0.577,0.218,0.782,0,0,0.0,6,SEARCH_PHASE,-1.3774,-0.2767,13.0852,8.0945
