step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
0,0.0,8.9492,1.5302,3.9063,0.0,0.0,0.0,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.048,-0.0011,0.048,0.0679,-0.8284,0,0,0,0.979,0.616,0.384,0,0,0.0
1,0.049,8.9492,1.5302,3.9067,0.0,0.0,0.0186,0.071,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.096,-0.0016,0.096,0.1358,-0.8243,0,0,0,0.978,0.577,0.423,0,0,0.0
2,0.094,8.9492,1.5302,3.9076,0.0,0.0,0.0478,0.072,9.965,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.144,-0.0017,0.144,0.2036,-0.8219,0,0,0,0.978,0.588,0.412,0,0,0.0
3,0.14,8.9492,1.5302,3.9093,-0.003,-0.0,0.0844,0.074,9.965,10.633,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.192,-0.0004,0.192,0.2715,-0.8171,0,0,0,0.978,0.551,0.449,0,0,0.0
4,0.187,8.949,1.5302,3.9118,-0.006,-0.0001,0.1255,0.076,9.965,10.634,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2399,0.0013,0.24,0.3394,-0.8054,0,0,0,0.978,0.555,0.445,0,0,1.0
5,0.233,8.9488,1.5302,3.9152,-0.0123,-0.0004,0.1699,0.079,9.964,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.2878,0.0048,0.288,0.4072,-0.8286,0,0,0,0.978,0.53,0.47,0,0,2.0
6,0.278,8.9484,1.5302,3.9196,-0.0213,-0.0,0.2164,0.084,9.964,10.636,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3357,0.0074,0.336,0.4751,-0.7926,0,0,0,0.976,0.495,0.505,0,0,3.0
7,0.325,8.9476,1.5302,3.9248,-0.0366,-0.0018,0.2638,0.089,9.963,10.637,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.3835,0.0118,0.384,0.5429,-0.8165,0,0,0,0.976,0.478,0.522,0,0,4.0
8,0.371,8.9465,1.5301,3.9311,-0.0542,-0.0024,0.3122,0.095,9.962,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4312,0.0174,0.432,0.6106,-0.7803,0,0,0,0.976,0.442,0.558,0,0,5.0
9,0.417,8.945,1.53,3.9383,-0.0776,-0.0046,0.3606,0.102,9.961,10.639,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.4787,0.0241,0.48,0.6784,-0.8048,0,0,0,0.976,0.402,0.598,0,0,6.0
10,0.463,8.9429,1.5299,3.9465,-0.1028,-0.0054,0.4096,0.111,9.959,10.641,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5263,0.0306,0.528,0.7461,-0.7686,0,0,0,0.974,0.371,0.629,0,0,7.0
11,0.509,8.9403,1.5298,3.9557,-0.1333,-0.0074,0.4582,0.12,9.957,10.642,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.5735,0.039,0.576,0.8138,-0.7934,0,0,0,0.974,0.33,0.67,0,0,8.0
