step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
18,0.836,8.8949,1.5337,4.0466,-0.4747,0.0349,0.7901,0.211,9.92,10.64,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.878,0.0885,0.912,1.269,-0.7144,0,0,0,0.457,0.134,0.866,0,0,0.0,5,SEARCH_PHASE,-0.4747,0.0349,8.4976,5.1184
19,0.881,8.8843,1.5345,4.0633,-0.5287,0.041,0.8363,0.227,9.911,10.638,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9076,0.0508,0.96,1.3221,-0.7578,0,0,0,0.463,0.135,0.865,0,0,0.0,5,SEARCH_PHASE,-0.5287,0.041,8.487,5.1192
20,0.927,8.8726,1.5355,4.0809,-0.5838,0.0505,0.8816,0.245,9.902,10.635,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9373,0.013,1.008,1.3765,-0.7076,0,0,0,0.453,0.126,0.874,0,0,0.0,5,SEARCH_PHASE,-0.5838,0.0505,8.4753,5.1202
21,0.972,8.8599,1.5367,4.0995,-0.6374,0.0588,0.9269,0.264,9.892,10.632,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9668,-0.0248,1.056,1.432,-0.7517,0,0,0,0.46,0.133,0.867,0,0,0.0,5,SEARCH_PHASE,-0.6374,0.0588,8.4626,5.1214
22,1.016,8.846,1.5381,4.1189,-0.6917,0.07,0.9715,0.283,9.881,10.629,0.3973,-3.5847,0.2,0.0,0.0,0.0,-0.9963,-0.0626,1.104,1.4884,-0.7432,0,0,0,0.458,0.135,0.865,0,0,0.0,5,SEARCH_PHASE,-0.6917,0.07,8.4488,5.1228
23,1.058,8.8311,1.5397,4.1392,-0.7444,0.0795,1.0169,0.303,9.869,10.626,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0258,-0.1005,1.152,1.5458,-0.7774,0,0,0,0.473,0.143,0.857,0,0,0.0,5,SEARCH_PHASE,-0.7444,0.0795,8.4339,5.1244
24,1.099,8.8152,1.5414,4.1605,-0.7979,0.0871,1.0629,0.325,9.856,10.622,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0552,-0.1385,1.2,1.6039,-0.7262,0,0,0,0.472,0.141,0.859,0,0,0.0,5,SEARCH_PHASE,-0.7979,0.0871,8.4179,5.1261
25,1.14,8.7982,1.5432,4.1827,-0.8496,0.0891,1.1093,0.347,9.842,10.618,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.0845,-0.1765,1.248,1.6628,-0.7716,0,0,0,0.487,0.148,0.852,0,0,0.0,5,SEARCH_PHASE,-0.8496,0.0891,8.4009,5.1279
26,1.183,8.7802,1.545,4.2058,-0.9015,0.0898,1.1562,0.37,9.828,10.613,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.1138,-0.2145,1.296,1.7223,-0.7255,0,0,0,0.494,0.155,0.845,0,0,0.0,5,SEARCH_PHASE,-0.9015,0.0898,8.3829,5.1297
27,1.224,8.7611,1.5467,4.2299,-0.9515,0.0844,1.2038,0.394,9.812,10.608,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.143,-0.2527,1.344,1.7823,-0.7716,0,0,0,0.516,0.161,0.839,0,0,0.0,5,SEARCH_PHASE,-0.9515,0.0844,8.3639,5.1314
